id,empresa,titulo,nivel,area_tech,cidade,uf,remoto,tipo_di,eh_di,mes_ano,inserted_at,descricao
,Pixel Systems,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Florianópolis,SC,0,Afirmativa,1,2025-08,2025-08-02 10:54:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,CodeWave,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Rio de Janeiro,RJ,0,Afirmativa,1,2025-09,2025-09-08 10:52:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Sigma Digital,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Salvador,BA,0,Afirmativa,1,2025-10,2025-10-19 10:50:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Recife,PE,0,Exclusiva,1,2025-11,2025-11-16 10:09:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,Alpha Cloud,Estágio em QA,Estagiário,QA/Testes,São Paulo,SP,0,Exclusiva,1,2025-12,2025-12-20 10:11:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,SmartLabs,Estágio em Dados,Estagiário,Dados,,,1,Afirmativa,1,2026-01,2026-01-14 10:51:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,Alpha Cloud,Estágio em Dados,Estagiário,Dados,Florianópolis,SC,0,Exclusiva,1,2026-02,2026-02-26 10:15:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,SmartLabs,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Recife,PE,0,Afirmativa,1,2026-03,2026-03-26 10:21:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,DevPoint,Analista de Suporte Júnior,Júnior,Suporte Técnico,Salvador,BA,0,Exclusiva,1,2026-04,2026-04-08 10:13:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,DigitalCore,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Campinas,SP,0,Afirmativa Trans-Inclusiva,1,2026-05,2026-05-11 10:57:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,Pixel Systems,QA Júnior,Júnior,QA/Testes,Recife,PE,0,Exclusiva,1,2025-08,2025-08-13 10:13:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,TechNova,Estágio em Dados,Estagiário,Dados,São Paulo,SP,0,Afirmativa Trans-Inclusiva,1,2025-09,2025-09-09 10:13:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,DigitalCore,QA Júnior,Júnior,QA/Testes,Florianópolis,SC,0,Afirmativa,1,2025-10,2025-10-05 10:11:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,NextGen Tech,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Afirmativa Trans-Inclusiva,1,2025-11,2025-11-05 10:47:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,CodeWave,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Curitiba,PR,0,Afirmativa,1,2025-12,2025-12-18 10:48:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,InovaTI,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Curitiba,PR,0,Afirmativa Trans-Inclusiva,1,2026-01,2026-01-12 10:51:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,VisionData,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Curitiba,PR,0,Afirmativa Trans-Inclusiva,1,2026-02,2026-02-18 10:43:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,DevPoint,QA Júnior,Júnior,QA/Testes,Campinas,SP,0,Exclusiva,1,2026-03,2026-03-25 10:36:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,DigitalCore,QA Júnior,Júnior,QA/Testes,Curitiba,PR,0,Exclusiva,1,2026-04,2026-04-03 10:05:00,Esta oportunidade é exclusiva para mulheres. Programa voltado ao fortalecimento da diversidade de gênero em tecnologia.
,SmartLabs,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Curitiba,PR,0,Afirmativa,1,2026-05,2026-05-20 10:10:00,Programa afirmativo para mulheres. Buscamos ampliar a participação feminina em equipes de tecnologia.
,NextGen Tech,Estágio em Dados,Estagiário,Dados,Rio de Janeiro,RJ,0,Afirmativa Trans-Inclusiva,1,2025-08,2025-08-09 10:16:00,Vaga afirmativa para mulheres. Incentivamos candidaturas de mulheres cis e trans. Oportunidade para início de carreira em tecnologia.
,CloudSync,Analista de Suporte Júnior,Júnior,Suporte Técnico,Florianópolis,SC,0,Aberta,0,2025-09,2025-09-04 10:32:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,BlueSoft,Analista de Suporte Júnior,Júnior,Suporte Técnico,Rio de Janeiro,RJ,0,Aberta,0,2025-10,2025-10-10 10:37:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,BlueSoft,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2025-11,2025-11-08 10:07:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,ByteWorks,Pessoa Aprendiz em TI,Aprendiz,TI Geral,,,1,Aberta,0,2025-12,2025-12-25 10:41:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CloudSync,Analista de Suporte Júnior,Júnior,Suporte Técnico,Campinas,SP,0,Aberta,0,2026-01,2026-01-09 10:25:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Sigma Digital,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2026-02,2026-02-07 10:55:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Porto Alegre,RS,0,Aberta,0,2026-03,2026-03-19 10:05:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,VisionData,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Salvador,BA,0,Aberta,0,2026-04,2026-04-26 10:36:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,BlueSoft,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,,,1,Aberta,0,2026-05,2026-05-08 10:29:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,SmartLabs,Estágio em Dados,Estagiário,Dados,Campinas,SP,0,Aberta,0,2025-08,2025-08-13 10:54:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Estágio em Dados,Estagiário,Dados,Recife,PE,0,Aberta,0,2025-09,2025-09-28 10:02:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Pixel Systems,QA Júnior,Júnior,QA/Testes,Belo Horizonte,MG,0,Aberta,0,2025-10,2025-10-20 10:23:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,InovaTI,QA Júnior,Júnior,QA/Testes,Belo Horizonte,MG,0,Aberta,0,2025-11,2025-11-19 10:07:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Alpha Cloud,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,São Paulo,SP,0,Aberta,0,2025-12,2025-12-26 10:44:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,ByteWorks,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Recife,PE,0,Aberta,0,2026-01,2026-01-03 10:02:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Curitiba,PR,0,Aberta,0,2026-02,2026-02-09 10:52:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,VisionData,Analista de Suporte Júnior,Júnior,Suporte Técnico,Recife,PE,0,Aberta,0,2026-03,2026-03-12 10:44:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Sigma Digital,QA Júnior,Júnior,QA/Testes,Belo Horizonte,MG,0,Aberta,0,2026-04,2026-04-04 10:41:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,VisionData,Analista de Suporte Júnior,Júnior,Suporte Técnico,Belo Horizonte,MG,0,Aberta,0,2026-05,2026-05-18 10:47:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DataBridge,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Rio de Janeiro,RJ,0,Aberta,0,2025-08,2025-08-23 10:45:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,InovaTI,Analista de Suporte Júnior,Júnior,Suporte Técnico,Salvador,BA,0,Aberta,0,2025-09,2025-09-06 10:34:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Alpha Cloud,Estágio em Dados,Estagiário,Dados,,,1,Aberta,0,2025-10,2025-10-24 10:32:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Florianópolis,SC,0,Aberta,0,2025-11,2025-11-24 10:40:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Analista de Suporte Júnior,Júnior,Suporte Técnico,Salvador,BA,0,Aberta,0,2025-12,2025-12-11 10:07:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,SmartLabs,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Porto Alegre,RS,0,Aberta,0,2026-01,2026-01-18 10:39:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DigitalCore,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Curitiba,PR,0,Aberta,0,2026-02,2026-02-13 10:03:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Porto Alegre,RS,0,Aberta,0,2026-03,2026-03-26 10:34:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,VisionData,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Florianópolis,SC,0,Aberta,0,2026-04,2026-04-17 10:15:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Rio de Janeiro,RJ,0,Aberta,0,2026-05,2026-05-10 10:11:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Pixel Systems,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Belo Horizonte,MG,0,Aberta,0,2025-08,2025-08-26 10:36:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,Analista de Suporte Júnior,Júnior,Suporte Técnico,Campinas,SP,0,Aberta,0,2025-09,2025-09-09 10:55:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CodeWave,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Belo Horizonte,MG,0,Aberta,0,2025-10,2025-10-07 10:49:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Estágio em Dados,Estagiário,Dados,Curitiba,PR,0,Aberta,0,2025-11,2025-11-01 10:25:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,ByteWorks,Analista de Suporte Júnior,Júnior,Suporte Técnico,Rio de Janeiro,RJ,0,Aberta,0,2025-12,2025-12-18 10:25:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Recife,PE,0,Aberta,0,2026-01,2026-01-09 10:44:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,InovaTI,QA Júnior,Júnior,QA/Testes,Recife,PE,0,Aberta,0,2026-02,2026-02-20 10:01:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,BlueSoft,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,São Paulo,SP,0,Aberta,0,2026-03,2026-03-03 10:01:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Pixel Systems,Estágio em Dados,Estagiário,Dados,Salvador,BA,0,Aberta,0,2026-04,2026-04-10 10:50:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,ByteWorks,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Recife,PE,0,Aberta,0,2026-05,2026-05-21 10:42:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CloudSync,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2025-08,2025-08-22 10:01:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,SmartLabs,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Florianópolis,SC,0,Aberta,0,2025-09,2025-09-11 10:32:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,Analista de Suporte Júnior,Júnior,Suporte Técnico,Porto Alegre,RS,0,Aberta,0,2025-10,2025-10-07 10:36:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,TechNova,Estágio em Dados,Estagiário,Dados,Belo Horizonte,MG,0,Aberta,0,2025-11,2025-11-20 10:36:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Sigma Digital,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Recife,PE,0,Aberta,0,2025-12,2025-12-22 10:45:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CloudSync,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,São Paulo,SP,0,Aberta,0,2026-01,2026-01-05 10:20:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Rio de Janeiro,RJ,0,Aberta,0,2026-02,2026-02-12 10:45:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CloudSync,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Curitiba,PR,0,Aberta,0,2026-03,2026-03-13 10:18:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,ByteWorks,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Recife,PE,0,Aberta,0,2026-04,2026-04-11 10:04:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Sigma Digital,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Porto Alegre,RS,0,Aberta,0,2026-05,2026-05-18 10:23:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,Analista de Suporte Júnior,Júnior,Suporte Técnico,Curitiba,PR,0,Aberta,0,2025-08,2025-08-04 10:46:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Florianópolis,SC,0,Aberta,0,2025-09,2025-09-24 10:41:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,BlueSoft,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2025-10,2025-10-11 10:35:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,TechNova,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,São Paulo,SP,0,Aberta,0,2025-11,2025-11-05 10:50:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,NextGen Tech,Estágio em QA,Estagiário,QA/Testes,Recife,PE,0,Aberta,0,2025-12,2025-12-14 10:12:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Alpha Cloud,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2026-01,2026-01-08 10:41:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DevPoint,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Campinas,SP,0,Aberta,0,2026-02,2026-02-27 10:00:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,BlueSoft,Analista de Suporte Júnior,Júnior,Suporte Técnico,Campinas,SP,0,Aberta,0,2026-03,2026-03-16 10:23:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Sigma Digital,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Belo Horizonte,MG,0,Aberta,0,2026-04,2026-04-23 10:52:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,VisionData,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Salvador,BA,0,Aberta,0,2026-05,2026-05-23 10:07:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Analista de Suporte Júnior,Júnior,Suporte Técnico,Salvador,BA,0,Aberta,0,2025-08,2025-08-02 10:22:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,TechNova,Estágio em QA,Estagiário,QA/Testes,Salvador,BA,0,Aberta,0,2025-09,2025-09-26 10:46:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Alpha Cloud,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Porto Alegre,RS,0,Aberta,0,2025-10,2025-10-07 10:07:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,ByteWorks,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Campinas,SP,0,Aberta,0,2025-11,2025-11-23 10:58:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Campinas,SP,0,Aberta,0,2025-12,2025-12-28 10:40:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DevPoint,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Salvador,BA,0,Aberta,0,2026-01,2026-01-13 10:41:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CloudSync,QA Júnior,Júnior,QA/Testes,São Paulo,SP,0,Aberta,0,2026-02,2026-02-22 10:16:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Sigma Digital,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Curitiba,PR,0,Aberta,0,2026-03,2026-03-14 10:00:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,VisionData,Estágio em QA,Estagiário,QA/Testes,Belo Horizonte,MG,0,Aberta,0,2026-04,2026-04-16 10:11:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,VisionData,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2026-05,2026-05-21 10:02:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CloudSync,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Campinas,SP,0,Aberta,0,2025-08,2025-08-27 10:40:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,BlueSoft,Estágio em Dados,Estagiário,Dados,Rio de Janeiro,RJ,0,Aberta,0,2025-09,2025-09-01 10:40:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Sigma Digital,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,,,1,Aberta,0,2025-10,2025-10-05 10:11:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CloudSync,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,São Paulo,SP,0,Aberta,0,2025-11,2025-11-21 10:21:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Sigma Digital,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2025-12,2025-12-17 10:56:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CodeWave,Analista de Suporte Júnior,Júnior,Suporte Técnico,Curitiba,PR,0,Aberta,0,2026-01,2026-01-27 10:53:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DigitalCore,Estágio em Dados,Estagiário,Dados,Rio de Janeiro,RJ,0,Aberta,0,2026-02,2026-02-11 10:04:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CodeWave,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Campinas,SP,0,Aberta,0,2026-03,2026-03-09 10:13:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DevPoint,Estágio em Dados,Estagiário,Dados,Salvador,BA,0,Aberta,0,2026-04,2026-04-28 10:34:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
