id,empresa,titulo,nivel,area_tech,cidade,uf,remoto,tipo_di,eh_di,mes_ano,inserted_at,descricao
,TechNova,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Rio de Janeiro,RJ,0,Aberta,0,2026-05,2026-05-24 10:05:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,NextGen Tech,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Belo Horizonte,MG,0,Aberta,0,2025-08,2025-08-23 10:10:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DigitalCore,QA Júnior,Júnior,QA/Testes,Florianópolis,SC,0,Aberta,0,2025-09,2025-09-28 10:08:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CloudSync,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Curitiba,PR,0,Aberta,0,2025-10,2025-10-03 10:54:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Salvador,BA,0,Aberta,0,2025-11,2025-11-10 10:10:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,CodeWave,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Florianópolis,SC,0,Aberta,0,2025-12,2025-12-08 10:15:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,ByteWorks,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,,,1,Aberta,0,2026-01,2026-01-22 10:24:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CloudSync,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Curitiba,PR,0,Aberta,0,2026-02,2026-02-13 10:50:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,ByteWorks,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Belo Horizonte,MG,0,Aberta,0,2026-03,2026-03-15 10:34:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,SmartLabs,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Salvador,BA,0,Aberta,0,2026-04,2026-04-15 10:42:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CodeWave,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,,,1,Aberta,0,2026-05,2026-05-28 10:44:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Alpha Cloud,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Recife,PE,0,Aberta,0,2025-08,2025-08-28 10:57:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CodeWave,QA Júnior,Júnior,QA/Testes,Porto Alegre,RS,0,Aberta,0,2025-09,2025-09-06 10:39:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,DigitalCore,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Salvador,BA,0,Aberta,0,2025-10,2025-10-15 10:50:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Analista de Suporte Júnior,Júnior,Suporte Técnico,São Paulo,SP,0,Aberta,0,2025-11,2025-11-24 10:33:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Sigma Digital,Analista de Suporte Júnior,Júnior,Suporte Técnico,Recife,PE,0,Aberta,0,2025-12,2025-12-14 10:17:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,NextGen Tech,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Porto Alegre,RS,0,Aberta,0,2026-01,2026-01-20 10:04:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,VisionData,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,São Paulo,SP,0,Aberta,0,2026-02,2026-02-27 10:51:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Belo Horizonte,MG,0,Aberta,0,2026-03,2026-03-01 10:33:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CloudSync,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,,,1,Aberta,0,2026-04,2026-04-06 10:38:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Sigma Digital,Estágio em Dados,Estagiário,Dados,Porto Alegre,RS,0,Aberta,0,2026-05,2026-05-20 10:42:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DevPoint,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Curitiba,PR,0,Aberta,0,2025-08,2025-08-27 10:49:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Pixel Systems,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Rio de Janeiro,RJ,0,Aberta,0,2025-09,2025-09-03 10:54:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,InovaTI,Analista de Suporte Júnior,Júnior,Suporte Técnico,Campinas,SP,0,Aberta,0,2025-10,2025-10-14 10:30:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,SmartLabs,Analista de Suporte Júnior,Júnior,Suporte Técnico,Porto Alegre,RS,0,Aberta,0,2025-11,2025-11-02 10:59:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,ByteWorks,Estágio em QA,Estagiário,QA/Testes,Salvador,BA,0,Aberta,0,2025-12,2025-12-01 10:56:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CodeWave,Estágio em Dados,Estagiário,Dados,Salvador,BA,0,Aberta,0,2026-01,2026-01-10 10:21:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CodeWave,QA Júnior,Júnior,QA/Testes,São Paulo,SP,0,Aberta,0,2026-02,2026-02-28 10:18:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,CodeWave,Estágio em QA,Estagiário,QA/Testes,Belo Horizonte,MG,0,Aberta,0,2026-03,2026-03-13 10:50:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,TechNova,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Recife,PE,0,Aberta,0,2026-04,2026-04-04 10:13:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Alpha Cloud,QA Júnior,Júnior,QA/Testes,Porto Alegre,RS,0,Aberta,0,2026-05,2026-05-04 10:16:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CloudSync,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Belo Horizonte,MG,0,Aberta,0,2025-08,2025-08-20 10:59:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,CloudSync,Estágio em QA,Estagiário,QA/Testes,Curitiba,PR,0,Aberta,0,2025-09,2025-09-09 10:18:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DigitalCore,Estágio em Dados,Estagiário,Dados,Belo Horizonte,MG,0,Aberta,0,2025-10,2025-10-19 10:35:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Alpha Cloud,Estágio em QA,Estagiário,QA/Testes,Florianópolis,SC,0,Aberta,0,2025-11,2025-11-06 10:43:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,CodeWave,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Campinas,SP,0,Aberta,0,2025-12,2025-12-14 10:06:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DevPoint,Estágio em QA,Estagiário,QA/Testes,Curitiba,PR,0,Aberta,0,2026-01,2026-01-13 10:54:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,BlueSoft,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Curitiba,PR,0,Aberta,0,2026-02,2026-02-04 10:01:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DataBridge,Estágio em Dados,Estagiário,Dados,Porto Alegre,RS,0,Aberta,0,2026-03,2026-03-21 10:50:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,NextGen Tech,Estágio em QA,Estagiário,QA/Testes,,,1,Aberta,0,2026-04,2026-04-22 10:29:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DataBridge,QA Júnior,Júnior,QA/Testes,Recife,PE,0,Aberta,0,2026-05,2026-05-11 10:34:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CodeWave,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Recife,PE,0,Aberta,0,2025-08,2025-08-05 10:52:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Sigma Digital,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Campinas,SP,0,Aberta,0,2025-09,2025-09-19 10:36:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,BlueSoft,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2025-10,2025-10-04 10:06:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,CodeWave,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Porto Alegre,RS,0,Aberta,0,2025-11,2025-11-12 10:59:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,QA Júnior,Júnior,QA/Testes,Rio de Janeiro,RJ,0,Aberta,0,2025-12,2025-12-15 10:46:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,CodeWave,Estágio em Dados,Estagiário,Dados,Recife,PE,0,Aberta,0,2026-01,2026-01-05 10:36:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Estágio em Dados,Estagiário,Dados,Florianópolis,SC,0,Aberta,0,2026-02,2026-02-26 10:39:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CodeWave,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Recife,PE,0,Aberta,0,2026-03,2026-03-08 10:55:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,SmartLabs,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Florianópolis,SC,0,Aberta,0,2026-04,2026-04-19 10:21:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DigitalCore,Analista de Suporte Júnior,Júnior,Suporte Técnico,Florianópolis,SC,0,Aberta,0,2026-05,2026-05-11 10:45:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,InovaTI,Estágio em QA,Estagiário,QA/Testes,Florianópolis,SC,0,Aberta,0,2025-08,2025-08-24 10:54:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Belo Horizonte,MG,0,Aberta,0,2025-09,2025-09-06 10:51:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DataBridge,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Campinas,SP,0,Aberta,0,2025-10,2025-10-24 10:30:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,InovaTI,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,São Paulo,SP,0,Aberta,0,2025-11,2025-11-04 10:38:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,CloudSync,Estágio em QA,Estagiário,QA/Testes,Salvador,BA,0,Aberta,0,2025-12,2025-12-08 10:44:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Pixel Systems,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Belo Horizonte,MG,0,Aberta,0,2026-01,2026-01-24 10:24:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DigitalCore,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Curitiba,PR,0,Aberta,0,2026-02,2026-02-24 10:57:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Sigma Digital,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Rio de Janeiro,RJ,0,Aberta,0,2026-03,2026-03-23 10:10:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Alpha Cloud,QA Júnior,Júnior,QA/Testes,,,1,Aberta,0,2026-04,2026-04-08 10:56:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,BlueSoft,Pessoa Aprendiz em TI,Aprendiz,TI Geral,,,1,Aberta,0,2026-05,2026-05-02 10:32:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Florianópolis,SC,0,Aberta,0,2025-08,2025-08-07 10:13:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Alpha Cloud,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,São Paulo,SP,0,Aberta,0,2025-09,2025-09-02 10:38:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,BlueSoft,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Recife,PE,0,Aberta,0,2025-10,2025-10-06 10:32:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DigitalCore,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Porto Alegre,RS,0,Aberta,0,2025-11,2025-11-02 10:21:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,Pixel Systems,QA Júnior,Júnior,QA/Testes,Recife,PE,0,Aberta,0,2025-12,2025-12-28 10:46:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,BlueSoft,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Porto Alegre,RS,0,Aberta,0,2026-01,2026-01-09 10:55:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Rio de Janeiro,RJ,0,Aberta,0,2026-02,2026-02-21 10:47:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,InovaTI,Estágio em QA,Estagiário,QA/Testes,Salvador,BA,0,Aberta,0,2026-03,2026-03-08 10:12:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,TechNova,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Rio de Janeiro,RJ,0,Aberta,0,2026-04,2026-04-17 10:29:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DataBridge,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Salvador,BA,0,Aberta,0,2026-05,2026-05-19 10:37:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,VisionData,Estágio em QA,Estagiário,QA/Testes,Recife,PE,0,Aberta,0,2025-08,2025-08-07 10:04:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DigitalCore,QA Júnior,Júnior,QA/Testes,Florianópolis,SC,0,Aberta,0,2025-09,2025-09-13 10:59:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,ByteWorks,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Curitiba,PR,0,Aberta,0,2025-10,2025-10-13 10:43:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DevPoint,Estágio em Ciência de Dados,Estagiário,Ciência de Dados,Porto Alegre,RS,0,Aberta,0,2025-11,2025-11-15 10:25:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,ByteWorks,QA Júnior,Júnior,QA/Testes,Curitiba,PR,0,Aberta,0,2025-12,2025-12-28 10:51:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,DevPoint,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Porto Alegre,RS,0,Aberta,0,2026-01,2026-01-17 10:12:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,ByteWorks,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2026-02,2026-02-10 10:28:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,BlueSoft,Estágio em Dados,Estagiário,Dados,São Paulo,SP,0,Aberta,0,2026-03,2026-03-22 10:39:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DigitalCore,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2026-04,2026-04-06 10:08:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,ByteWorks,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Salvador,BA,0,Aberta,0,2026-05,2026-05-20 10:46:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,NextGen Tech,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Recife,PE,0,Aberta,0,2025-08,2025-08-10 10:30:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,ByteWorks,Analista de Suporte Júnior,Júnior,Suporte Técnico,Porto Alegre,RS,0,Aberta,0,2025-09,2025-09-22 10:55:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,DevPoint,Estágio em QA,Estagiário,QA/Testes,São Paulo,SP,0,Aberta,0,2025-10,2025-10-12 10:49:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,DevPoint,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Campinas,SP,0,Aberta,0,2025-11,2025-11-28 10:28:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,NextGen Tech,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Belo Horizonte,MG,0,Aberta,0,2025-12,2025-12-28 10:52:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,NextGen Tech,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Campinas,SP,0,Aberta,0,2026-01,2026-01-27 10:40:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,CloudSync,Desenvolvedor(a) Front-end Júnior,Júnior,Desenvolvimento Front-end,Florianópolis,SC,0,Aberta,0,2026-02,2026-02-24 10:07:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,DataBridge,Pessoa Aprendiz em TI,Aprendiz,TI Geral,São Paulo,SP,0,Aberta,0,2026-03,2026-03-14 10:48:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,TechNova,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Porto Alegre,RS,0,Aberta,0,2026-04,2026-04-05 10:29:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,TechNova,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Belo Horizonte,MG,0,Aberta,0,2026-05,2026-05-01 10:22:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,NextGen Tech,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Recife,PE,0,Aberta,0,2025-08,2025-08-14 10:43:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,DataBridge,Desenvolvedor(a) Back-end Júnior,Júnior,Desenvolvimento Back-end,Belo Horizonte,MG,0,Aberta,0,2025-09,2025-09-04 10:35:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Belo Horizonte,MG,0,Aberta,0,2025-10,2025-10-28 10:16:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Sigma Digital,Estágio em Desenvolvimento,Estagiário,Desenvolvimento,Porto Alegre,RS,0,Aberta,0,2025-11,2025-11-17 10:51:00,"Oportunidade para início de carreira. Conhecimentos em lógica de programação, SQL ou Git serão diferenciais."
,Sigma Digital,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Salvador,BA,0,Aberta,0,2025-12,2025-12-10 10:19:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Pixel Systems,Estágio em QA,Estagiário,QA/Testes,São Paulo,SP,0,Aberta,0,2026-01,2026-01-23 10:48:00,"Atuação em equipe ágil, desenvolvimento de software e aprendizado contínuo. Modelo híbrido ou remoto conforme a equipe."
,DigitalCore,Pessoa Aprendiz em TI,Aprendiz,TI Geral,Porto Alegre,RS,0,Aberta,0,2026-02,2026-02-17 10:24:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,SmartLabs,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Curitiba,PR,0,Aberta,0,2026-03,2026-03-12 10:21:00,"Vaga aberta para todas as pessoas. Perfil proativo, colaborativo e interesse em desenvolvimento de soluções."
,Pixel Systems,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Florianópolis,SC,0,Aberta,0,2026-04,2026-04-13 10:21:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
,Pixel Systems,Desenvolvedor(a) Júnior,Júnior,Desenvolvimento,Campinas,SP,0,Aberta,0,2026-05,2026-05-02 10:10:00,"Buscamos pessoas com interesse em tecnologia, vontade de aprender, boa comunicação e conhecimentos básicos na área."
